fold_on_predict,fold_on_train,img_id
0,0,Atlanta_nadir44_catid_1030010003CCD700_734501_3729639
0,0,Atlanta_nadir7_catid_1030010003D22F00_734501_3729639
0,0,Atlanta_nadir10_catid_1030010003993E00_734501_3729639
0,0,Atlanta_nadir10_catid_1030010003CAF100_734501_3729639
0,0,Atlanta_nadir27_catid_1030010003472200_734501_3729639
0,0,Atlanta_nadir21_catid_1030010003127500_734501_3729639
0,0,Atlanta_nadir47_catid_10300100033C5200_734501_3729639
0,0,Atlanta_nadir32_catid_103001000392F600_734501_3729639
0,0,Atlanta_nadir52_catid_1030010003BDDC00_734501_3729639
0,0,Atlanta_nadir16_catid_1030010002649200_734501_3729639
0,0,Atlanta_nadir14_catid_10300100039AB000_734501_3729639
0,0,Atlanta_nadir19_catid_1030010003C92000_734501_3729639
0,0,Atlanta_nadir42_catid_10300100035D1B00_734501_3729639
0,0,Atlanta_nadir46_catid_1030010003713C00_734501_3729639
0,0,Atlanta_nadir49_catid_1030010003492700_734501_3729639
0,0,Atlanta_nadir13_catid_1030010002B7D800_734501_3729639
0,0,Atlanta_nadir50_catid_10300100039E6200_734501_3729639
0,0,Atlanta_nadir30_catid_10300100036D5200_734501_3729639
0,0,Atlanta_nadir53_catid_1030010003CD4300_734501_3729639
0,0,Atlanta_nadir23_catid_103001000352C200_734501_3729639
0,0,Atlanta_nadir36_catid_1030010003895500_734501_3729639
0,0,Atlanta_nadir29_catid_1030010003315300_734501_3729639
0,0,Atlanta_nadir53_catid_1030010003193D00_734501_3729639
0,0,Atlanta_nadir8_catid_10300100023BC100_734501_3729639
0,0,Atlanta_nadir39_catid_1030010003832800_734501_3729639
0,0,Atlanta_nadir34_catid_1030010003697400_734501_3729639
0,0,Atlanta_nadir25_catid_103001000307D800_734501_3729639
3,3,Atlanta_nadir44_catid_1030010003CCD700_741701_3730539
3,3,Atlanta_nadir7_catid_1030010003D22F00_741701_3730539
3,3,Atlanta_nadir10_catid_1030010003993E00_741701_3730539
3,3,Atlanta_nadir10_catid_1030010003CAF100_741701_3730539
3,3,Atlanta_nadir27_catid_1030010003472200_741701_3730539
3,3,Atlanta_nadir21_catid_1030010003127500_741701_3730539
3,3,Atlanta_nadir47_catid_10300100033C5200_741701_3730539
3,3,Atlanta_nadir32_catid_103001000392F600_741701_3730539
3,3,Atlanta_nadir52_catid_1030010003BDDC00_741701_3730539
3,3,Atlanta_nadir16_catid_1030010002649200_741701_3730539
3,3,Atlanta_nadir14_catid_10300100039AB000_741701_3730539
3,3,Atlanta_nadir19_catid_1030010003C92000_741701_3730539
3,3,Atlanta_nadir42_catid_10300100035D1B00_741701_3730539
3,3,Atlanta_nadir46_catid_1030010003713C00_741701_3730539
3,3,Atlanta_nadir49_catid_1030010003492700_741701_3730539
3,3,Atlanta_nadir13_catid_1030010002B7D800_741701_3730539
3,3,Atlanta_nadir50_catid_10300100039E6200_741701_3730539
3,3,Atlanta_nadir30_catid_10300100036D5200_741701_3730539
3,3,Atlanta_nadir53_catid_1030010003CD4300_741701_3730539
3,3,Atlanta_nadir23_catid_103001000352C200_741701_3730539
3,3,Atlanta_nadir36_catid_1030010003895500_741701_3730539
3,3,Atlanta_nadir29_catid_1030010003315300_741701_3730539
3,3,Atlanta_nadir53_catid_1030010003193D00_741701_3730539
3,3,Atlanta_nadir8_catid_10300100023BC100_741701_3730539
3,3,Atlanta_nadir39_catid_1030010003832800_741701_3730539
3,3,Atlanta_nadir34_catid_1030010003697400_741701_3730539
3,3,Atlanta_nadir25_catid_103001000307D800_741701_3730539
4,4,Atlanta_nadir44_catid_1030010003CCD700_740351_3720639
4,4,Atlanta_nadir7_catid_1030010003D22F00_740351_3720639
4,4,Atlanta_nadir10_catid_1030010003993E00_740351_3720639
4,4,Atlanta_nadir10_catid_1030010003CAF100_740351_3720639
4,4,Atlanta_nadir27_catid_1030010003472200_740351_3720639
4,4,Atlanta_nadir21_catid_1030010003127500_740351_3720639
4,4,Atlanta_nadir47_catid_10300100033C5200_740351_3720639
4,4,Atlanta_nadir32_catid_103001000392F600_740351_3720639
4,4,Atlanta_nadir52_catid_1030010003BDDC00_740351_3720639
4,4,Atlanta_nadir16_catid_1030010002649200_740351_3720639
4,4,Atlanta_nadir14_catid_10300100039AB000_740351_3720639
4,4,Atlanta_nadir19_catid_1030010003C92000_740351_3720639
4,4,Atlanta_nadir42_catid_10300100035D1B00_740351_3720639
4,4,Atlanta_nadir46_catid_1030010003713C00_740351_3720639
4,4,Atlanta_nadir49_catid_1030010003492700_740351_3720639
4,4,Atlanta_nadir13_catid_1030010002B7D800_740351_3720639
4,4,Atlanta_nadir50_catid_10300100039E6200_740351_3720639
4,4,Atlanta_nadir30_catid_10300100036D5200_740351_3720639
4,4,Atlanta_nadir53_catid_1030010003CD4300_740351_3720639
4,4,Atlanta_nadir23_catid_103001000352C200_740351_3720639
4,4,Atlanta_nadir36_catid_1030010003895500_740351_3720639
4,4,Atlanta_nadir29_catid_1030010003315300_740351_3720639
4,4,Atlanta_nadir53_catid_1030010003193D00_740351_3720639
4,4,Atlanta_nadir8_catid_10300100023BC100_740351_3720639
4,4,Atlanta_nadir39_catid_1030010003832800_740351_3720639
4,4,Atlanta_nadir34_catid_1030010003697400_740351_3720639
4,4,Atlanta_nadir25_catid_103001000307D800_740351_3720639
3,3,Atlanta_nadir44_catid_1030010003CCD700_738101_3735039
3,3,Atlanta_nadir7_catid_1030010003D22F00_738101_3735039
3,3,Atlanta_nadir10_catid_1030010003993E00_738101_3735039
3,3,Atlanta_nadir10_catid_1030010003CAF100_738101_3735039
3,3,Atlanta_nadir27_catid_1030010003472200_738101_3735039
3,3,Atlanta_nadir21_catid_1030010003127500_738101_3735039
3,3,Atlanta_nadir47_catid_10300100033C5200_738101_3735039
3,3,Atlanta_nadir32_catid_103001000392F600_738101_3735039
3,3,Atlanta_nadir52_catid_1030010003BDDC00_738101_3735039
3,3,Atlanta_nadir16_catid_1030010002649200_738101_3735039
